idx,question,db_id,gold_sql,difficulty,lora_sql,lora_correct,dora_sql,dora_correct,complexity_score,complexity_bucket
0,How many singers do we have?,concert_singer,SELECT count(*) FROM singer,,SELECT count(*) FROM singer,True,SELECT count(*) FROM singer,True,1,moderate
1,What is the total number of singers?,concert_singer,SELECT count(*) FROM singer,,SELECT count(*) FROM singer,True,SELECT count(*) FROM singer,True,1,moderate
2,"Show name, country, age for all singers ordered by age from the oldest to the youngest.",concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",True,"SELECT Name ,  Country ,  Age FROM singer ORDER BY Age DESC",True,0,simple
3,"What are the names, countries, and ages for every singer in descending order of age?",concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC",,"SELECT Name ,  Country ,  Age FROM singer ORDER BY Age DESC",True,"SELECT Name ,  Country ,  Age FROM singer ORDER BY Age DESC",True,0,simple
4,"What is the average, minimum, and maximum age of all singers from France?",concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",,"SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country  =  'France'",True,"SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country  =  'France'",True,3,complex
5,"What is the average, minimum, and maximum age for all French singers?",concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'",,"SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country  =  ""French""",False,"SELECT avg(Age) ,  min(Age) ,  max(Age) FROM singer WHERE Country  =  'French'",False,3,complex
6,Show the name and the release year of the song by the youngest singer.,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",,"SELECT T2.Song_Name ,  T2.Song_release_year FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID  =  T3.Singer_ID ORDER BY T3.Age LIMIT 1",False,"SELECT T2.Song_Name ,  T2.Song_release_year FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID  =  T2.concert_ID WHERE T1.Age  =  (SELECT MIN(T3.Age) FROM singer AS T3)",False,0,simple
7,What are the names and release years for all the songs of the youngest singer?,concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",,"SELECT T2.name ,  T2.release_year FROM concert AS T1 JOIN singer_in_concert AS T2 ON T1.concert_ID  =  T2.concert_ID JOIN singer AS T3 ON T2.Singer_ID  =  T3.Singer_ID ORDER BY T3.age LIMIT 1",False,"SELECT T2.name ,  T2.song_release_year FROM singer AS T1 JOIN concert AS T2 ON T1.singer_id  =  T2.concert_id WHERE T1.age  =  (SELECT MIN(age) FROM singer)",False,0,simple
8,What are all distinct countries where singers above age 20 are from?,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,,SELECT DISTINCT T2.Country FROM concert AS T1 JOIN singer AS T2 ON T1.Stadium_ID  =  T2.Stadium_ID JOIN singer_in_concert AS T3 ON T1.concert_ID  =  T3.concert_ID WHERE T3.Singer_ID  =  (SELECT Singer_ID FROM singer WHERE Age  >  20),False,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID  =  T2.concert_ID WHERE T1.Age  >  20,True,0,simple
9,What are  the different countries with singers above age 20?,concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,,SELECT Country FROM singer WHERE Age  >  20,True,SELECT DISTINCT T1.Country FROM singer AS T1 JOIN concert AS T2 ON T1.Singer_ID  =  T2.concert_ID WHERE T1.Age  >  20,True,0,simple
